published_year, games_number, reviews_number, avg_price_original, avg_price_final, avg_reviews_per_game
2020,5838,261091,9.281628909789768,8.819859472401095,44.72267899965742
2022,6571,226195,11.42564291439541,10.489961883431608,34.42322325369046
2018,5258,221594,8.28583483428001,7.8407739793202325,42.14416127805249
2015,2905,213396,8.332313136841057,7.927879413967494,73.45817555938038
2017,4832,206823,8.33324908711855,7.929176245094431,42.802773178807946
2016,4088,177427,8.1640434424063,7.697800783910688,43.401908023483365
2019,4824,176255,9.217048016057086,8.670120159735529,36.53710613598673
2021,6386,175751,9.427124892642347,8.83211393768217,27.521296586282492
2013,810,124501,10.412123317188687,9.81345665940532,153.70493827160493
2014,1887,78901,9.616629447770233,9.144435493448265,41.81293057763646
2012,552,69951,9.837517977192782,9.365561462506868,126.72282608695652
2009,311,20971,10.176816515600565,9.194179886023715,67.43086816720258
2011,369,19657,8.692493068493478,8.448184129345385,53.2710027100271
2010,278,13372,8.627194068414703,8.219604147423944,48.10071942446043
1998,1,8276,9.989999771118164,9.989999771118164,8276.0
2007,82,8035,8.271341262794122,7.524390060727189,97.98780487804878
2006,55,7036,8.699818004261363,7.3907271298495205,127.92727272727272
2008,145,3714,9.43565498878216,8.942896379273513,25.613793103448277
2023,857,537,11.214107302690191,10.944048968781669,0.6266044340723453
2005,3,0,3.6599999268849692,1.1600000063578289,0.0
2004,4,0,8.739999771118164,8.739999771118164,0.0
2003,2,0,5.989999771118164,5.989999771118164,0.0
2002,1,0,14.989999771118164,4.940000057220459,0.0
2001,2,0,4.989999771118164,4.989999771118164,0.0
2000,2,0,7.489999771118164,7.489999771118164,0.0
1999,3,0,3.326666514078776,3.326666514078776,0.0
1997,2,0,4.994999885559082,4.994999885559082,0.0
